first,gender,N
DIXIE,F,14361
HILDA,F,16378
ROXANNE,F,53134
LEONA,F,14472
MARLA,F,33734
MARCELLA,F,22977
GALE,F,13388
SUSANNE,F,17706
GINGER,F,39002
GUADALUPE,F,42191
PENELOPE,F,13450
HATTIE,F,9304
CASSANDRA,F,155352
KATHIE,F,11476
LENA,F,28543
LOLA,F,15054
VIOLA,F,10845
DELLA,F,14211
MARGO,F,15692
GERTRUDE,F,5949
ALBERTA,F,9289
LAVERNE,F,10357
GLENNA,F,8615
JAYNE,F,19864
KARLA,F,74798
PEARL,F,13409
ROSALIND,F,14592
JENNY,F,77563
DARLA,F,34985
MOLLY,F,117007
THERESE,F,21960
JANETTE,F,21881
NOREEN,F,11620
FLORA,F,10054
GRETCHEN,F,38611
CHERI,F,32618
ERMA,F,7054
EUNICE,F,13738
OLGA,F,19818
MARGARITA,F,26796
SHARI,F,38310
FANNIE,F,7649
CELESTE,F,42466
DAISY,F,57362
SHERRIE,F,31151
LULA,F,6157
ELOISE,F,6901
ROCHELLE,F,38430
VIOLET,F,14924
SANDY,F,57761
LORA,F,34717
PATRICE,F,32341
CORINNE,F,26953
UNKNOWN,F,7102
SAUNDRA,F,9467
HELENE,F,9997
CELIA,F,21789
KATIE,F,172903
ROSEANN,F,9898
SHARRON,F,8973
ADRIENNE,F,53478
CLAUDETTE,F,9021
AMELIA,F,58661
ROSETTA,F,8486
GAY,F,9457
BETTYE,F,3571
CAMILLE,F,41602
CHRISTY,F,95239
DIANN,F,8064
JOANNA,F,77397
KERRY,F,46632
SALLIE,F,8518
SONDRA,F,15669
HOPE,F,60718
ADA,F,14143
SHERRI,F,80979
JAMIE,F,254450
MAMIE,F,7107
LORNA,F,14857
POLLY,F,13390
HENRIETTA,F,6901
MYRTLE,F,4849
BETTE,F,4658
FAITH,F,83579
GWEN,F,17958
ILENE,F,7579
MYRNA,F,9703
KIMBERLY,F,795800
MAGGIE,F,39775
MARTA,F,13839
LEAH,F,138445
PAT,F,8454
BETTIE,F,4773
FREDA,F,9722
FRANKIE,F,10512
ADELE,F,9217
JODY,F,53795
LENORA,F,11381
LAUREN,F,419578
ROSANNE,F,10777
LOU,F,13199
SHERI,F,58121
CHERIE,F,25649
EARNESTINE,F,4528
DELIA,F,17439
JESSICA,F,1010776
ESTELLA,F,9004
APRIL,F,225541
MELBA,F,6544
JERI,F,19345
NATALIE,F,238779
GENEVIEVE,F,23736
TAMARA,F,125133
SHANNON,F,288602
MARILYNN,F,4587
AMANDA,F,746601
DONA,F,7531
RUTHIE,F,6585
FAY,F,6037
NELDA,F,5639
KATHARINE,F,26124
RENA,F,16469
TERI,F,42024
JEANIE,F,11276
KAYE,F,6730
NANETTE,F,13841
ISABEL,F,58458
REBA,F,9069
KARIN,F,24486
NONA,F,4609
KRISTIN,F,175119
MABLE,F,4313
TANYA,F,111631
ALISON,F,96682
JERRY,F,5077
JOLENE,F,24008
INEZ,F,8062
LILA,F,13412
EUGENIA,F,11545
COLEEN,F,9710
ROSALYN,F,11836
SONJA,F,29315
DEBORA,F,27892
EARLENE,F,4399
GRACIE,F,27588
ROBYN,F,58091
SHELLY,F,82625
SONIA,F,54376
MARYANNE,F,8350
CARLENE,F,8397
MURIEL,F,5345
JANINE,F,30958
ROBBIE,F,10135
DEE,F,11436
LADONNA,F,16384
TERRIE,F,17875
CATHRYN,F,10399
CRYSTAL,F,314637
JEANNINE,F,15157
RONDA,F,32161
YVETTE,F,56299
RAE,F,10812
MARVA,F,4902
SADIE,F,29067
ESSIE,F,3960
ANTONIA,F,18511
HEATHER,F,517632
ALTHEA,F,7329
DOROTHEA,F,7028
BLANCHE,F,4665
JANA,F,39764
LORENE,F,7517
MEREDITH,F,61237
OLLIE,F,3490
AVA,F,67081
WINIFRED,F,4782
JEWEL,F,11673
CHRISTIE,F,43076
ROSALINDA,F,12068
MERRY,F,6376
NETTIE,F,4114
LENORE,F,6342
ETTA,F,4985
BEULAH,F,3049
BERNADINE,F,5383
EULA,F,3559
KIM,F,177238
BEVERLEY,F,3892
KRISTINA,F,129413
LAVONNE,F,5746
RHODA,F,6950
JANELLE,F,42338
ROSEANNA,F,3892
JIMMIE,F,4100
CANDY,F,25212
ROSLYN,F,8388
ORA,F,4265
ANGELINA,F,60986
INA,F,5177
LELA,F,7364
MARIETTA,F,4842
CLARE,F,15270
DOLLY,F,5771
JEANINE,F,19719
MARYLOU,F,5282
LYNNETTE,F,13030
ELENA,F,39910
MARYELLEN,F,8070
PEARLIE,F,2998
GEORGETTE,F,7463
TOMMIE,F,5006
SHARLENE,F,8526
WILLA,F,4738
DELOIS,F,3649
FRANCIS,F,8286
LESLEY,F,30316
JANNIE,F,4043
LUPE,F,6173
DAPHNE,F,23159
HARRIETT,F,3554
JAMES,F,11981
SUZAN,F,6951
DINAH,F,6937
MADELYN,F,34158
SHELBY,F,117060
HEIDI,F,130066
NOLA,F,5181
CHERRY,F,6826
JOSIE,F,22510
NITA,F,6901
ADDIE,F,7009
ANGIE,F,45120
EARLINE,F,3270
JOHANNA,F,30192
LIZZIE,F,4226
NIKKI,F,36212
QUEEN,F,3871
CLARICE,F,6397
LEOLA,F,3242
SHARYN,F,3173
CATHIE,F,4105
JULIANNE,F,22728
ESTELLE,F,5035
GAYLA,F,9116
JACQUE,F,3599
SHERRILL,F,3808
GILDA,F,4061
DORTHY,F,3366
ALEXIS,F,268494
CONSUELO,F,7791
ELVIRA,F,8064
PAM,F,29640
FERN,F,3871
KITTY,F,5326
MABEL,F,5710
ROSEANNE,F,5052
BRIDGET,F,77987
MARI,F,12569
PATRICA,F,6573
ELVA,F,6532
MALINDA,F,14770
ANA,F,79220
ARLEEN,F,5378
RENE,F,19382
KARON,F,4132
EDWINA,F,6364
MARCY,F,19633
CHRIS,F,20882
HELENA,F,14898
JEWELL,F,4842
ROSANNA,F,10087
MELVA,F,3960
SUZETTE,F,14510
AURORA,F,16797
OLA,F,2700
MOLLIE,F,16525
VALORIE,F,6416
CHERYLE,F,3917
DEBBY,F,8776
LOTTIE,F,3617
MICKEY,F,3002
EDDIE,F,2878
IVA,F,4407
BARBRA,F,5429
MAVIS,F,3439
ROXIE,F,4861
ALYCE,F,4278
LUCIA,F,19650
SYBIL,F,4988
CORRINE,F,10009
OPAL,F,4469
SONYA,F,58874
CORNELIA,F,4827
KARYN,F,12811
DENA,F,27097
RONNIE,F,4587
JOE,F,3503
NAN,F,3487
VALARIE,F,16384
ROBERT,F,10390
SYDNEY,F,124230
COLETTE,F,15260
KAROL,F,5745
RANDY,F,4167
ALFREDA,F,5407
JERRI,F,13590
CECILE,F,3919
KATRINA,F,95863
LEANNE,F,26130
BLANCA,F,21860
KATHRINE,F,10682
BENITA,F,9958
PORTIA,F,7529
JACALYN,F,4683
RANDI,F,27375
RETHA,F,2918
CHARLEEN,F,3948
FREDDIE,F,2192
ELISABETH,F,31925
ELISE,F,37328
JUANA,F,10654
JOSEFINA,F,7377
LORI,F,338422
MADELEINE,F,19964
EFFIE,F,3472
GINA,F,148131
PAMALA,F,6344
MARGERY,F,2745
MAY,F,6400
MILLIE,F,5732
ALANA,F,34489
ALETA,F,3968
CARMELA,F,7435
CELESTINE,F,3807
CINDA,F,3292
ELNORA,F,2579
LYN,F,5370
PEGGIE,F,2471
FRIEDA,F,3088
LORAINE,F,5174
MARLYS,F,2081
CARLOTTA,F,3618
DIAN,F,2730
JOHN,F,10017
MADONNA,F,4747
FREIDA,F,3333
MERCEDES,F,31874
MICHAEL,F,18873
KATHERYN,F,8352
MARYJANE,F,5190
TRACY,F,247731
ESTER,F,5669
ALTA,F,2898
JUDI,F,5966
VALERIA,F,29361
CARYN,F,11527
OPHELIA,F,3283
CAREN,F,8065
DARLEEN,F,4039
DOLLIE,F,2553
ROXANN,F,8055
SHERRYL,F,2935
LEILA,F,14843
REVA,F,4778
ESPERANZA,F,10617
KRISTI,F,75358
LOUELLA,F,2122
LEIGH,F,38247
RETA,F,2255
CARYL,F,2532
DARYL,F,3211
HANNAH,F,324155
LEANNA,F,16599
AILEEN,F,15499
LETHA,F,4301
SHARMAN,F,850
IVY,F,21288
KATHI,F,9288
VIRGIE,F,2226
CARMELLA,F,5574
DOTTIE,F,3641
JACKLYN,F,12880
JANELL,F,12665
KRISTEN,F,211943
NANCI,F,5118
SHIRLENE,F,2931
ALLISON,F,233693
ANGELINE,F,8848
ANNMARIE,F,15167
NELL,F,2639
VICKEY,F,5039
CLEO,F,3437
GAYE,F,3635
LEANN,F,21740
CAMILLA,F,8513
DORETHA,F,3601
FELICIA,F,85011
NEVA,F,4267
CHARLES,F,5282
DEBRAH,F,4125
ELSA,F,14209
GERRY,F,2141
TONYA,F,118830
CHARMAINE,F,12528
DEANNE,F,12475
IMOGENE,F,1725
DEIDRE,F,13963
RUTHANN,F,3260
AVIS,F,4844
LEA,F,22516
ROXANNA,F,9966
SHAREN,F,2055
TWILA,F,5707
ORALIA,F,3174
VIKKI,F,5891
BERYL,F,1881
DEIRDRE,F,15406
DENICE,F,9900
GOLDIE,F,3486
MARILEE,F,4112
SUSANNA,F,12332
MINERVA,F,6430
ELMA,F,2798
GRETA,F,13312
CARLEEN,F,4510
CATHARINE,F,4752
MERLE,F,1698
VONDA,F,7176
LUANN,F,13947
MATILDA,F,4419
CAROLANN,F,3071
LUANNE,F,7095
MARIANN,F,4577
LILLY,F,15504
LOUISA,F,6738
NEDRA,F,3388
VERNELL,F,2176
CORLISS,F,1866
EVANGELINE,F,5872
GEORGIANNA,F,2980
INGRID,F,18961
LETA,F,3245
ODESSA,F,3619
ELOUISE,F,1439
JOCELYN,F,65218
LORENA,F,27798
LILY,F,48729
CLEMENTINE,F,1682
DAVID,F,10164
LUCRETIA,F,5687
DORENE,F,4832
ERLINDA,F,2377
ILA,F,2704
KATHALEEN,F,2181
LAUREEN,F,5983
ANGELITA,F,6944
CONCETTA,F,3029
LONNIE,F,2818
ROSELLA,F,2265
TANA,F,8002
CARROLL,F,2024
DELILAH,F,10656
MARGRET,F,3310
CASSIE,F,35999
LONA,F,3166
PETRA,F,5840
WINNIE,F,3559
BOBBY,F,4339
LAURETTA,F,2456
SANJUANITA,F,3146
CALLIE,F,25214
DARCY,F,19374
GEORGINA,F,10507
DEENA,F,11945
LUELLA,F,2067
MARINA,F,28012
MINDY,F,40670
MARLEEN,F,2465
MANUELA,F,3916
RONNA,F,3587
SHAUNA,F,27104
WILLIAM,F,7449
CHARLA,F,6704
GLINDA,F,1768
MARYJO,F,5267
MERYL,F,3228
SUELLEN,F,1886
JOELLEN,F,3969
NANNETTE,F,4528
WILHELMINA,F,1970
ADELA,F,5537
ELIZA,F,17703
GRACIELA,F,12356
JACQULINE,F,6551
JUSTINE,F,30095
BENNIE,F,1596
JUDIE,F,1743
ZELMA,F,1733
KATHLENE,F,2623
GEORGENE,F,1299
LIBBY,F,8829
PATTIE,F,4426
WINONA,F,2988
CORINE,F,3588
FLORINE,F,1351
KRISTIE,F,37606
LETITIA,F,7978
WILDA,F,1718
ALEXANDRA,F,188533
BETHANY,F,86763
CATHRINE,F,4378
DEANA,F,21437
ELIDA,F,3917
SHAWN,F,32467
ERICA,F,221803
LINDSAY,F,123537
ROSARIO,F,7613
SOPHIE,F,28834
SUZANN,F,2847
ELISA,F,31099
JACQUELIN,F,6352
JONNIE,F,2395
ROSITA,F,4144
ARDITH,F,909
MARIBETH,F,4916
